380,0.068777,0.050813,0.017881
390,0.0001392,0.0002784,0.0047617
400,0.00021448,0.002103,0.019154
410,0.01022,0.030977,0.14382
420,0.012631,0.044433,0.23317
430,0.013097,0.04941,0.31346
440,0.011433,0.071928,0.40918
450,0.01276,0.094754,0.5181
460,0.017188,0.12454,0.60047
470,0.019579,0.21153,0.655
480,0.026423,0.28969,0.65572
490,0.029174,0.35024,0.61341
500,0.032652,0.41466,0.52758
510,0.045739,0.57555,0.43252
520,0.061544,0.7657,0.29321
530,0.096275,0.89744,0.17096
540,0.088296,1,0.1022
550,0.06242,0.98349,0.055425
560,0.066806,0.92008,0.030987
570,0.1277,0.80165,0.025577
580,0.48507,0.64217,0.020667
590,0.89721,0.46301,0.017045
600,0.98573,0.27329,0.014218
610,0.98859,0.1443,0.010703
620,0.99092,0.060938,0.008766
630,0.99483,0.055567,0.0067555
640,0.95041,0.038811,0.0056462
650,0.89732,0.030565,0.0059613
660,0.83574,0.036726,0.007983
670,0.615,0.029871,0.0084229
680,0.29121,0.028618,0.0059974
690,0.12135,0.018057,0.0045131
700,0.054602,0.013546,0.0028193
710,0.027832,0.010098,0.0011444
720,0.01466,0.0038254,0.00079327
730,0.0099465,0.0038916,0
